                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
WTC   WTR DYB 11 DYB 20 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 1 3 2 . 1 2 3 01 00
WTC   WTR DYB 11 DYB 20 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 1 3 2 . 1 2 3 01 00
WTC   WTR DYB 11 DYB 20 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 1 3 2 . 1 2 3 01 00
WTC   WTR DYB 11 DYB 20 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 1 3 2 . 1 2 3 01 00
WTC   WRC DYB 11 DYB 20 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 1 3 2 . 1 2 3 01 -10
WTC   WRC SAB 10 DYB 20 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 - 3 2 . 1 2 3 01 -10
WTC   WRC SAB 10 SAB 19 DYB 19 SAB 14 SAB 12   WTR DYB 13 DYB 16 DYB 11 SAB 13 SAB 15 - 3 - . 1 2 3 01 --
WTC   WRC SAB 10 SAB 19 DYB 19 SAB 14 SAB 12   WTR SAB 12 DYB 16 DYB 11 SAB 13 SAB 15 - 3 - . - 2 3 01 --
WTC   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WTR SAB 12 DYB 16 DYB 11 SAB 13 SAB 15 - - - . - 2 3 01 --
WTC   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WTR SAB 12 SAB 15 DYB 11 SAB 13 SAB 15 - - - . - - 3 01 --
WTC   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WTR SAB 12 SAB 15 SAB 10 SAB 13 SAB 15 - - - . - - - 01 --
WTC   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SAB 12 SAB 15 SAB 10 SAB 13 SAB 15 - - - . - - - 01 --
WTC   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SAB 12 SAB 15 SAB 10 SAB 13 SAB 15 - - - . - - - 01 --
EOG   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SAB 12 SAB 15 SAB 10 SAB 13 SAB 15 - - - . - - - 01 --
Game 1 was won by team 1 by knock out in 1 trials.
SOG   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SAB 12 SAB 15 SAB 10 SAB 13 SAB 15 - - - . - - - 01 --
Game 2 
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
TSR   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SAB 12 SAB 15 SAB 10 SAB 13 SAB 15 - - - . - - - 01 --
TSR   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SAB 12 SIP 15 SAB 10 SAB 13 SAB 15 - - - . 2 - - 01 --
TSR   WRC SAB 10 SAB 19 SAB 18 SAB 14 SAB 12   WRC SIP 12 SIP 15 SAB 10 SAB 13 SAB 15 - - - . 2 1 - 01 --
TSR   WRC SAB 10 SIP 19 SAB 18 SAB 14 SAB 12   WRC SIP 12 SIP 15 SAB 10 SAB 13 SAB 15 - - 2 . 2 1 - 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SAB 12   WRC SIP 12 SIP 15 SAB 10 SAB 13 SAB 15 - 1 2 . 2 1 - 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SAB 12   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 - 1 2 . 2 1 5 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   AST SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   WTR SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
TSR   WRC SIP 10 SIP 19 SAB 18 SAB 14 SIP 13   WRC SIP 12 SIP 15 SAB 10 SAB 13 SIP 16 5 1 2 . 2 1 5 01 --
