                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
SOG   WRC SAB 08 SAB 18 SAB 18 SAB 13 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 SAB 13 - - - . - - - 03 --
TSR   WRC SAB 08 SAB 18 SAB 18 SAB 13 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 SAB 13 - - - . - - - 01 --
TSR   WRC SAB 08 SAB 18 SAB 18 SIP 13 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 SAB 13 - - 4 . - - - 01 --
TSR   WRC SAB 08 SAB 18 SIP 18 SIP 13 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 SAB 13 - 3 4 . - - - 01 --
TSR   WRC SAB 08 SAB 18 SIP 18 SIP 13 SAB 10   WRC SAB 10 SAB 14 SAB 10 SIP 12 SAB 13 - 3 4 . 4 - - 01 --
TSR   WRC SAB 08 SAB 18 SIP 18 SIP 13 SAB 10   WRC SAB 10 SAB 14 SIP 10 SIP 12 SAB 13 - 3 4 . 4 3 - 01 --
TSR   WRC SAB 08 SAB 18 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 - 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   AST SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WTR SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   AST SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   WTR SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 SIP 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 DYB 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 SIP 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 DYB 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 DYB 15 SIP 10 SIP 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 DYB 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 DYB 15 SIP 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 DYB 19 SIP 18 SIP 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 DYB 19 DYB 18 SIP 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 --
TSR   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 --
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 00
WTC   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 -13
EOG   WRC SAB 08 DYB 19 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 2 3 4 . 4 3 2 01 -13
Game 3 was won by team 1 by knock out in 1 trials.
EOG   WRC SAB 08 SAB 18 DYB 18 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 - 3 4 . 4 3 2 01 -13
EOG   WRC SAB 08 SAB 18 SAB 17 DYB 13 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 - - 4 . 4 3 2 01 --
EOG   WRC SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   WRC SAB 10 DYB 15 DYB 10 DYB 12 SAB 13 - - - . 4 3 2 01 --
EOG   WRC SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   WRC SAB 10 DYB 15 SAB 09 DYB 12 SAB 13 - - - . 4 - 2 01 --
EOG   WRC SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   WRC SAB 10 DYB 15 SAB 09 SAB 11 SAB 13 - - - . - - 2 01 --
EOG   WRC SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   WRC SAB 10 SAB 14 SAB 09 SAB 11 SAB 13 - - - . - - - 01 --
EOG   AST SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   WRC SAB 10 SAB 14 SAB 09 SAB 11 SAB 13 - - - . - - - 01 --
EOG   AST SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   AST SAB 10 SAB 14 SAB 09 SAB 11 SAB 13 - - - . - - - 01 --
EOM   AST SAB 08 SAB 18 SAB 17 SAB 12 SAB 10   AST SAB 10 SAB 14 SAB 09 SAB 11 SAB 13 - - - . - - - 01 --
Match was won by team1 (3-0).
